N,Gozo,Confusion,Expectativas,Lenguaje,Analogias,Imagenes,Fluidez,Atencion,Gestos,Importancia,Interes,,,,,,,,,,,,,,,
1,5,,5,,5,5,,5,5,5,5,,,,,,,,,,,,,,,
2,5,2,5,4,4,4,1,4,4,5,5,,,,,,,,,,,,,,,
3,5,1,5,4,5,5,1,5,4,5,5,,,,,,,,,,,,,,,
4,5,1,4,2,4,3,2,3,1,3,4,,,,,,,,,,,,,,,
5,1,5,1,5,1,1,5,1,1,1,1,,,,,,,,,,,,,,,
6,,5,5,4,5,3,1,4,1,5,5,,,,,,,,,,,,,,,
7,5,4,5,3,5,5,3,5,5,5,5,,,,,,,,,,,,,,,
8,5,5,4,4,5,4,4,5,5,4,5,,,,,,,,,,,,,,,
9,4,2,4,2,4,2,4,4,4,4,4,,,,,,,,,,,,,,,
10,4,2,3,1,5,3,1,2,3,5,5,,,,,,,,,,,,,,,
11,3,1,3,1,5,4,3,4,5,2,3,,,,,,,,,,,,,,,
12,5,1,5,1,5,5,4,5,4,5,5,,,,,,,,,,,,,,,
13,4,4,4,5,5,3,2,5,5,4,3,,,,,,,,,,,,,,,
14,5,4,5,3,5,5,2,4,4,5,5,,,,,,,,,,,,,,,
15,2,3,2,1,1,1,4,1,2,2,2,,,,,,,,,,,,,,,
16,4,3,4,4,4,4,5,3,3,4,4,,,,,,,,,,,,,,,
17,,1,4,1,5,4,2,5,5,4,4,,,,,,,,,,,,,,,
18,5,3,5,3,4,5,4,4,3,5,5,,,,,,,,,,,,,,,
19,,4,4,4,5,4,,4,4,5,,,,,,,,,,,,,,,,
20,3,2,4,2,4,4,3,3,1,5,5,,,,,,,,,,,,,,,
21,3,4,3,3,3,4,3,2,4,3,4,,,,,,,,,,,,,,,
22,1,5,1,5,1,,5,1,1,1,1,,,,,,,,,,,,,,,
23,5,1,5,2,5,5,1,5,5,5,5,,,,,,,,,,,,,,,
24,4,3,3,3,4,4,5,4,3,3,2,,,,,,,,,,,,,,,
25,5,4,5,4,5,4,,5,5,5,5,,,,,,,,,,,,,,,
26,5,4,5,5,4,5,5,5,4,5,5,,,,,,,,,,,,,,,
27,5,2,5,1,5,5,1,5,5,5,5,,,,,,,,,,,,,,,
28,5,1,4,1,5,4,1,4,4,4,3,,,,,,,,,,,,,,,
29,4,3,3,3,4,4,3,3,4,4,3,,,,,,,,,,,,,,,
30,,,2,3,,,,,,,,,,,,,,,,,,,,,,
31,1,2,2,2,4,4,2,3,3,4,3,,,,,,,,,,,,,,,
32,5,1,5,4,4,3,1,5,5,5,5,,,,,,,,,,,,,,,
33,4,3,4,4,5,4,5,3,4,5,3,,,,,,,,,,,,,,,
34,5,1,5,1,5,5,1,5,5,5,5,,,,,,,,,,,,,,,
35,5,1,5,1,5,5,1,5,5,5,5,,,,,,,,,,,,,,,
36,5,1,5,1,5,5,1,5,5,5,5,,,,,,,,,,,,,,,
37,5,4,4,,,3,2,5,1,5,5,,,,,,,,,,,,,,,
38,3,2,2,4,,2,2,3,2,3,4,,,,,,,,,,,,,,,
39,4,2,4,3,,5,1,5,5,5,4,,,,,,,,,,,,,,,
40,4,3,4,2,5,5,2,4,5,5,4,,,,,,,,,,,,,,,
41,4,4,4,4,,2,4,3,4,4,,,,,,,,,,,,,,,,
42,5,1,5,3,4,4,4,4,5,5,5,,,,,,,,,,,,,,,
43,5,2,5,1,5,5,1,5,5,5,5,,,,,,,,,,,,,,,
44,4,1,4,1,5,5,3,3,4,5,5,,,,,,,,,,,,,,,
45,3,2,5,5,5,5,4,2,3,4,4,,,,,,,,,,,,,,,
46,4,2,4,2,5,4,2,4,3,4,5,,,,,,,,,,,,,,,
47,5,2,,4,,2,,3,4,3,5,,,,,,,,,,,,,,,
48,5,3,5,3,5,5,3,2,5,5,4,,,,,,,,,,,,,,,
49,1,5,1,1,1,1,1,1,1,2,2,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3,5,3,4,2,1,5,1,3,1,5,,,,,,,,,,,,,,,
52,3,3,2,3,4,5,2,2,3,3,4,,,,,,,,,,,,,,,
53,5,1,5,1,5,5,1,5,5,5,5,,,,,,,,,,,,,,,
54,,3,4,3,4,3,3,3,3,5,5,,,,,,,,,,,,,,,
55,5,2,5,4,5,5,2,5,5,5,5,,,,,,,,,,,,,,,
56,5,1,5,1,4,5,2,5,5,5,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
